name,url,Alternative names,Affiliation,Distinction,Distinction(s),Eye colour,Feather colour,Feathers,Hair colour,Height of average adult,Known affected,Length of average adult,Ministry of Magic Classification,Mortality,Native to,Provoked by,Rarity,Related to,Sentience,Skin colour,Species,Status,Type,Wingspan of average adult
Sea serpent,https://harrypotter.fandom.com/wiki/Sea_serpent,,,Horse-like headSerpentine bodyPeaceful temperament,,,,,,,,100 feet,XXX,,Atlantic OceanPacific OceanMediterranean SeaGreat Lake,,,Selma,,,,Extant,,
Secondary,https://harrypotter.fandom.com/wiki/Secondary,,,,,,,,,,,,Beast,Mortal,Deep ocean,,,,,,,,,
Selma,https://harrypotter.fandom.com/wiki/Selma,,Norwegian National Quidditch team,"Aggressive temperamentCarnivorous, feeds on fish and human flesh",,,,,,,,,Beast,Mortal,Norway,,,Sea serpent,,,,Extant,,
Shrake,https://harrypotter.fandom.com/wiki/Shrake,,,Covered in sharp spines that can destroy fishing nets,,,,,,,,,XXX,Mortal,Atlantic Ocean,,,Fish,,,,Extant,,
Six-legged panda pig,https://harrypotter.fandom.com/wiki/Six-legged_panda_pig,,,Presumably a hybrid between a panda and a pigHas six legs,,,,,Black and white,,,,Beast,Mortal (likely),,,,PandaPig,,,,Extant (possibly),,
Snallygaster,https://harrypotter.fandom.com/wiki/Snallygaster,,,Part-bird and part-reptileResembles dragonsSerrated steel fangs to pierce preyNaturally curious natureBulletproof hide,,,,,,,,,XXXX,Mortal,United States of America,,,Occamy,,,,Extant,,
Sphinx,https://harrypotter.fandom.com/wiki/Sphinx,,,Human head and faceLion bodyHighly intelligentCapable of human speechDelights in puzzles and riddlesViolent nature,,Almond-shapedHazel,,,Brown,,,,XXXX,,Egypt,,,,,,,Extant,,
Squonk,https://harrypotter.fandom.com/wiki/Squonk,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,
Streeler,https://harrypotter.fandom.com/wiki/Streeler,Poisonous orange snailGiant Orange Snail,,"Changes colour hourlyToxic trail, spikes and shells",,,,,,Giant,,,XXX,Mortal,Africa,,,Snails,,Brown,,Extant,,
Swamp Lepus,https://harrypotter.fandom.com/wiki/Swamp_Lepus,,,,,,,,,,,,Beast,Mortal,,,,Temperate zone,,,,,,
Swooping Evil,https://harrypotter.fandom.com/wiki/Swooping_Evil,,Dark Arts,Resembles large butterflyWolf-like skullSpiked wingsShrinks into green spiny cocoon when not in flightFeeds on human brainsTough skin can deflect spellsVenomous,,,,,,,,,Beast,Mortal,,,,,,Blue and green,,Extant,,
Tebo,https://harrypotter.fandom.com/wiki/Tebo,,,Highly dangerousCan turn invisibleExtremely difficult to capture or evade,,Brown,,,Ashen,,,,XXXX,Mortal,CongoZaire,,,Warthog,,,,Extant,,
Three-Headed Dog,https://harrypotter.fandom.com/wiki/Three-Headed_Dog,Cerberus,,Three headsLarger and stronger than non-magical dogs,,Black,,,Brown,,,,Beast,Mortal,Greece,,,Dog,,,,Extant,,
Thunderbird,https://harrypotter.fandom.com/wiki/Thunderbird,,,Can magically create stormsHighly sensitive to danger,,,Gold/White,,,,,,XXXX,Mortal,"Arizona, United States of America",,,Phoenix,,White,,Extant,,
Thornback,https://harrypotter.fandom.com/wiki/Thornback,,,Large spider,,Yellow,,,,,,,Beast,,"Forbidden Forest, Scotland",,,Spider,,Various,,Extant,,
Thornback Ambusher,https://harrypotter.fandom.com/wiki/Thornback_Ambusher,,,,,Red,,,,,,,Beast,Mortal,Scotland,,,Thornback,,White and red,,Extant,,
Thornback Hatchling,https://harrypotter.fandom.com/wiki/Thornback_Hatchling,,,,,Red,,,,,,,Beast,Mortal,Scotland,,,Thornback,,Yellow,,Extant,,
Thornback Matriarch,https://harrypotter.fandom.com/wiki/Thornback_Matriarch,,,,,Orange,,,,,,,Beast,Mortal,Scotland,,,ThornbackThornback ShooterThornback Scurriour,,Purple,,Extant,,
Thornback Scurriour,https://harrypotter.fandom.com/wiki/Thornback_Scurriour,,,,,Red,,,,,,,Beast,Mortal,Scotland,,,ThornbackThornback Shooter,,Yellow,,Extant,,
Thornback Shooter,https://harrypotter.fandom.com/wiki/Thornback_Shooter,,,Venomous,,Red,,,,,,,Beast,Mortal,Scotland,,,Thornback,,Green,,Extant,,
Troll,https://harrypotter.fandom.com/wiki/Troll,,Norwegian National Quidditch team,Giant-like appearanceLow intelligenceGenerally aggressive natureCarnivorous,,Varies,,,,12 feet,,,XXXX,Mortal,Europe(originally Scandinavia),,,Yeti (possibly),,Varies,,Extant,,
Forest Troll,https://harrypotter.fandom.com/wiki/Forest_Troll,Troll,,Straggly hair,,,,,GreenBrown,Less than 12 feet,,,XXXX,Mortal,Forbidden ForestForests,,,River trollsMountain trolls,,Pale green,,Extant,,
Mountain Troll,https://harrypotter.fandom.com/wiki/Mountain_Troll,Troll,,Giant clubSmall head on large bodyGreat strength,,,,,None (bald)Whiskers,12 feet (roughly),,,XXXX,,Mountainous countryside,,,River trollsForest trolls,,Pale grey,,Extant,,
River Troll,https://harrypotter.fandom.com/wiki/River_Troll,Troll,,Short horns,,,,,,Less than 12 feet,,,XXXX,Mortal,RiversBeneath bridges,,,Mountain trollsForest trolls,,,,Extant,,
Troll of Nadroj,https://harrypotter.fandom.com/wiki/Troll_of_Nadroj,,,Giant clubHorned legsHuge hands,,,,,,Twelve feet,,,XXXX,,,,,Mountain trollRiver trollForest troll,,,,Extant,,
Unicorn,https://harrypotter.fandom.com/wiki/Unicorn,,,"Single horn on headPure white coatGolden hoovesFriendlier towards witches than wizardsBlood, hair and horn all have potent magical properties",,,,,White (mature)Silver (aged 2-7)Gold (first 2 years),,,,XXXX,Mortal,Northern Europe,,,Horses,,,,Extant,,
Vampyr Mosp,https://harrypotter.fandom.com/wiki/Vampyr_Mosp,,,Wasp-moth hybridGiant and aggressivePainful stingAttracted to the scent of flowers,,,,,,,,,Beast,Mortal,Scotland (possibly),,,,,Purple or Red,,Extant,,
Venomous Scurriour,https://harrypotter.fandom.com/wiki/Venomous_Scurriour,,Forbidden Forest,Venomous,,Red,,,,,,,Beast,Mortal,Scotland,,,Spider,,Yellow,,Extant,,
Venomous Ambusher,https://harrypotter.fandom.com/wiki/Venomous_Ambusher,,Forbidden Forest,,,Red,,,,,,,Beast,Mortal,Scotland,,,,,White and red,,Extant,,
Venomous Hatchling,https://harrypotter.fandom.com/wiki/Venomous_Hatchling,,Forbidden Forest,,,Red,,,,,,,Beast,Mortal,Scotland,,,,,Yellow,,Extant,,
Venomous Matriarch,https://harrypotter.fandom.com/wiki/Venomous_Matriarch,,Forbidden Forest,,,Red,,,,,,,Beast,Mortal,Scotland,,,,,Purple,,Extant,,
Venomous Scurriour,https://harrypotter.fandom.com/wiki/Venomous_Scurriour,,Forbidden Forest,Venomous,,Red,,,,,,,Beast,Mortal,Scotland,,,Spider,,Yellow,,Extant,,
Venomous Shooter,https://harrypotter.fandom.com/wiki/Venomous_Shooter,,Forbidden Forest,,,Red,,,,,,,Beast,Mortal,Scotland,,,,,Green,,Extant,,
Wampus cat,https://harrypotter.fandom.com/wiki/Wampus_cat,,,Eyes capable of hypnosis and legilimencyIncredibly fast and strongAlmost impossible to kill,,Yellow,,,Light brown and white,,,,XXXXX,Mortal,"Appalachian Mountains, North America",,,Cat,,,,Extant,,
Water dragon parasite,https://harrypotter.fandom.com/wiki/Water_dragon_parasite,,,"Resembled spindly waterborne spiderUsually lived off water dragons, occasionally humansHighly venomous",,,,,,,,,Beast,Mortal,Paris sewers (possibly),,,,,,,Extant,,
Werewolf,https://harrypotter.fandom.com/wiki/Werewolf,LycanthropeWolf-person (By Cecil Lee),Lord VoldemortOrder of the PhoenixWerewolf army,"Almost indistinguishable in appearance from the true wolfShorter snout, more human-like eyes, the tufted tailAggression toward humansIncurable cursed condition",,Varies,,,Varies,,,,XXXXX,Mortal,World-wide,,,WolfHuman,,Varies,,Extant,,
Wetland Jack moose,https://harrypotter.fandom.com/wiki/Wetland_Jack_moose,,,,,,,,,,,,Beast,Mortal,,,,Temperate zone,,,,,,
Winged horse,https://harrypotter.fandom.com/wiki/Winged_horse,,,Horses with wings capable of flight,,,,,Varied,,,,XXXX,Mortal,Worldwide,,,HorseAbraxanAethonanGranianThestral,,,,Extant,,
Abraxan,https://harrypotter.fandom.com/wiki/Abraxan,Horse,Olympe MaximeBeauxbatons Academy of Magic,Large and winged,,Red,,,White,Larger than normal horse-size; similar to an elephant,,,XXXX,Mortal,,,,Winged horseAethonanGranianThestral,,Palomino,,Extant,,
Aethonan,https://harrypotter.fandom.com/wiki/Aethonan,Horse,,Winged horse,,,,,Chestnut,,,,XXXX,Mortal,Great BritainIreland,,,Winged horseAbraxanGranianThestral,,,,Extant,,
Granian,https://harrypotter.fandom.com/wiki/Granian,,,Moves quickly,,,,,Grey,,,,XXXX,Mortal,,,,Winged horseAbraxanAethonanThestral,,,,Extant,,
Thestral,https://harrypotter.fandom.com/wiki/Thestral,,Hogwarts School of Witchcraft and WizardryRubeus HagridLuna LovegoodHarry PotterDark Arts,Only visible to those who had witnessed death and accepted its realityCarnivorous,,White,,,Black,Larger than a wingless horse,,Larger than a wingless horse,XXXX,,British IslesFranceIberian PeninsulaIreland,,,Winged horseAbraxanAethonanGranian,,Black,,Extant,,
Wyvern,https://harrypotter.fandom.com/wiki/Wyvern,,,Two pairs of wingsLong and prehensile tailCapable of inflating sections of its bodyCapable of lifting the weight of a full-grown human being with its tail alone,,,,,,,,,Beast,,,,,,,,,Extant,,
Wyvern of Wye,https://harrypotter.fandom.com/wiki/Wyvern_of_Wye,,,,,,,,,,,,,,,,,,,,Wyvern,,,
Yeti,https://harrypotter.fandom.com/wiki/Yeti,BigfootThe Abominable Snowman,,Human-like traitsCarnivorousFears fire,,,,,White,15 feet,,,XXXX,Mortal,Tibet,,,Troll (possibly),,Grey,,Extant,,
Zouwu,https://harrypotter.fandom.com/wiki/Zouwu,,,Striped bodyManed headFour fangsLong tailIncredibly powerful and fast,,Yellow,,,Orange,Size of an elephant,,,Beast,,China,,,Cat,,,,Extant,,
Giant,https://harrypotter.fandom.com/wiki/Giant,,Dark ArtsLord VoldemortGiant colony,Very large humanoidOften violent and bloodthirsty,,Varies,,,Varies,20–25 feet,,Large,Being,,EuropeNorth America (1920s),,,Human,,Varies,,Extant,,
Goblin,https://harrypotter.fandom.com/wiki/Goblin,,Gringotts Wizarding Bank,,,Black,,,White,48 inches,,,Being,Mortal,Europe (originally)North America,,,Dark GoblinHumanPukwudgie,,Light,,Extant,,
Dark Goblin,https://harrypotter.fandom.com/wiki/Dark_Goblin,,,Bear a sickle,,Black,,,,48 inches,,,,Mortal,Great Britain,,,Goblin,,Red,,Extant,,
Hag,https://harrypotter.fandom.com/wiki/Hag,,Wizarding worldDark Arts,"Resembled an ugly, old witch covered in wartsHad four toes on each footHad a taste for the flesh of human childrenPossessed Rudimentary magic",,"Green, among others",,,,,,,Being,Mortal,RussiaEurope,,,Human,,Pale,,Extant,,
Half-breed,https://harrypotter.fandom.com/wiki/Half-breed,,,,,,,,,,,,,,,,,,,,,,,
Part-elf,https://harrypotter.fandom.com/wiki/Part_elf,Half-elf,,Half-breed between house-elves and humansPossess weak magic,,,,,,,,,Being,Mortal,,,,House-elvesHumansWizards,,,,Extant,,
Part-giant,https://harrypotter.fandom.com/wiki/Half-giant,Part-giant,,Half-breed between giants and humansExtremely large height and buildMagical abilitiesSpell resistance,,Varies,,,Varies,Very tall by human standards,,,Being,Mortal,Worldwide,,,GiantsHumansWizards,,Varies,,Extant,,
Part-goblin,https://harrypotter.fandom.com/wiki/Half-goblin,Part-goblin,,Half-breed between goblins and humansShort stature and inhuman-shaped head,,Varies,,,,Short,,,Being,,Varies,,,GoblinsHumansWizards,,Human-like tones and colours,,Extant,,
Part-human,https://harrypotter.fandom.com/wiki/Half-breed,,,,,,,,,,,,,,,,,,,,,,,
Part-troll,https://harrypotter.fandom.com/wiki/Part-troll,Half-troll,,Half-breed between trolls and humansAggressive personalityOdorousExceptional strength,,,,,,,,,Beast or being,Mortal,,,,TrollsHumansWizards,,,,Extant,,
Part-vampire,https://harrypotter.fandom.com/wiki/Part-vampire,Half-vampire,Vampires,Half-breed between vampires and humans,,,,,,,,,Being,Mortal,,,,VampiresHumansWizards,,Pale,,Extant,,
Part-Veela,https://harrypotter.fandom.com/wiki/Part-Veela,Part-Veela,,Half-breed between Veela and humans,,,,,Often light,,,,Being,Mortal,,,,VeelaHumansWizards,,,,Extant,,
House-Elf,https://harrypotter.fandom.com/wiki/House-Elf,Elf (for short),Wizardkind,Short and skinnyBat-like earsPossessed powerful magicServed wizards and witches,,Varies,,,Grey,3',,,Being,Mortal,,,,YumboesErklings (possibly)Imps (possibly),,Varies,,Extant,,
Yumbo,https://harrypotter.fandom.com/wiki/Yumbo,,Senegalese National Quidditch team (team mascots),"Spiteful disposition; tend to steal food from humansPossess powerful magic, including the ability to apparate at will",,,,,,,,,,,Africa,,,House-elf,,,,Extant,,
Human,https://harrypotter.fandom.com/wiki/Human,WomenMen,MugglesWizards and WitchesSquibs,Bipedal,,Varies,,,Varies,Approx. 1.50 to 2.10 metres,,,Being,Mortal,Earth,,,ApesGiantsGoblinsHalf-breedsHouse-elvesTrollsVampiresVeela,,Varies,,Extant,,
Non-magic person,https://harrypotter.fandom.com/wiki/Non-magic_people,Muggles (Great Britain)No-Majs (USA)Non-Magiques (France)Can't-SpellsNon-wizards,Muggle-bornsSquibsMuggle world,Lack the ability to perform magicMost are unaware of the wizarding worldUse electronic/mechanical technology and science,,Varies,,,Varies,,,,Being,Mortal,Worldwide,,,WizardkindSquibs,,Varies,,Extant,,
Squib,https://harrypotter.fandom.com/wiki/Squib,,WizardkindMuggles,Wizarding parentage but cannot use magic,,Varies,,,Varies,Varies,,,Being,Mortal,,,,WizardkindNon-magic people,,Varies,,Extant,,
Wizard,https://harrypotter.fandom.com/wiki/Wizardkind,Wizards and witchesSorcerers and sorceresses,Muggle-bornsHalf-bloodsPure-bloodsWizarding world,Typically wear long robes and pointed hatsCarry wands and broomsticksPossess and capable of using magicGenerally abstain from using modern technology,,Varies,,,Varies,Varies,,,Beings,Mortal,Worldwide,,,MugglesSquibsUnderbeingsHalf-breeds,,Varies,,Extant,,
Animagus,https://harrypotter.fandom.com/wiki/Animagus,,,,,,,,,,,,,,,,,,,,,,,
Late-bloomer,https://harrypotter.fandom.com/wiki/Late-bloomer,,,,,,,,,,,,,,,,,,,,,,,
Legilimens,https://harrypotter.fandom.com/wiki/Legilimency,,,,,,,,,,,,,,,,,,,,,,,
Maledictus,https://harrypotter.fandom.com/wiki/Maledictus,,,,,,,,,,Nagini,,,,,A female-only inheritable blood malediction,,,,,,,,
Metamorphmagus,https://harrypotter.fandom.com/wiki/Metamorphmagus,,,,,,,,,,,,,,,,,,,,,,,
Obscurial,https://harrypotter.fandom.com/wiki/Obscurial,,,,,,,,,,,,,,,,,,,,,,,
Occlumens,https://harrypotter.fandom.com/wiki/Occlumency,,,,,,,,,,,,,,,,,,,,,,,
Parselmouth,https://harrypotter.fandom.com/wiki/Parseltongue,,,,,,,,,,,,,,,,,,,,,,,
Seer,https://harrypotter.fandom.com/wiki/Seer,,,,,,,,,,,,,,,,,,,,,,,
Troll,https://harrypotter.fandom.com/wiki/Troll,,Norwegian National Quidditch team,Giant-like appearanceLow intelligenceGenerally aggressive natureCarnivorous,,Varies,,,,12 feet,,,XXXX,Mortal,Europe(originally Scandinavia),,,Yeti (possibly),,Varies,,Extant,,
Underbeing,https://harrypotter.fandom.com/wiki/Underbeing,,,,,,,,,,,,,,,,,,,,,,,
Vampire,https://harrypotter.fandom.com/wiki/Vampire,,Living Dead,Sharp fangsNocturnalBlood-consumingAllergic to garlic,,Black,,,,Tall,,,Being,Mortal,Black ForestRomaniaTransylvaniaGreat BritainUnited States of America,,,HumanSasabonsam (possibly),,Pale,,Extant,,
Veela,https://harrypotter.fandom.com/wiki/Veela,,Bulgarian National Quidditch team,"Very beautiful; can charm humansWhile angry, they transform into harpy-like creatures",,Various colours (mostly blue),,,White-gold,,,,Being,Mortal,Bulgaria,,,Human,,Lustrous white,,Extant,,
Werewolf,https://harrypotter.fandom.com/wiki/Werewolf,LycanthropeWolf-person (By Cecil Lee),Lord VoldemortOrder of the PhoenixWerewolf army,"Almost indistinguishable in appearance from the true wolfShorter snout, more human-like eyes, the tufted tailAggression toward humansIncurable cursed condition",,Varies,,,Varies,,,,XXXXX,Mortal,World-wide,,,WolfHuman,,Varies,,Extant,,
Animal ghost,https://harrypotter.fandom.com/wiki/Animal_ghost,Animal spirit,,Spirits of deceased animals,,,,,,,,,Spirit,Already dead,Great Britain,,,Human ghosts,,,,Extant,,
Ghost horse,https://harrypotter.fandom.com/wiki/Ghost_horse,,Headless Hunt,,,Greyish-silver,,,Greyish-silver,,,,Spirit,Already dead,,,,HorseAnimal ghost,,Greyish-silver,,Extant,,
Apparition,https://harrypotter.fandom.com/wiki/Apparition_(spirit),,,,,,,,,,,,,,,,,,,,,,,
Banshee,https://harrypotter.fandom.com/wiki/Banshee,,Dark Arts,Zombie-like appearanceFatal scream,,Varies,,,Black,,,,SpiritDark spirit,Amortal,Ireland,,,,,Green-tinged,,Extant,,
Fear Incarnate,https://harrypotter.fandom.com/wiki/Fear_Incarnate,,Fear,,,,,,,,,,,Amortal,,,,,,,,,,
Ghost,https://harrypotter.fandom.com/wiki/Ghost,PhantomSpectre,Hogwarts CastleWizarding world,Three-dimensional imprint of deceased wizards and witchesTransparentLimited physical influence,,Greyish-silver,,,Greyish-silver,,,,Spirit,Already dead,Worldwide,,,WizardkindAnimal ghosts,,Greyish-silver,,Extant,,
Angry Skull,https://harrypotter.fandom.com/wiki/Angry_Skull,,Dark Arts,AggressivePossessed by a spirit,,,,,,,,,Spirit,Already dead,,,,Cursed SkullCharmed Skeleton (possibly)Ghost,,White,,Extant,,
Cursed Skull,https://harrypotter.fandom.com/wiki/Cursed_Skull,,Dark Arts,AgressivePoisonousPossessed by a spirit,,,,,,,,,Spirit,Already dead,,,,Angry SkullCharmed Skeleton (possibly)Ghost,,Green,,Extant,,
Loose Hand,https://harrypotter.fandom.com/wiki/Loose_Hand,Severed HandDisembodied Hand,Dark Arts,Moves on its ownPossessed by spirit,,,,,,,,,Spirit,Already dead,,,,,,Varies,,Extant,,
Gytrash,https://harrypotter.fandom.com/wiki/Gytrash,,Dark Arts,Dog-like in appearanceForked tailAggressive towards humansRetreats from wand light,,Black,,,White,,,,"Spirit, Beast",,Woodlands of Great Britain,,,Dog,,White,,Extant,,
Phantom Rat,https://harrypotter.fandom.com/wiki/Phantom_Rat,,,Ghostly ratAggressive,,,,,Blue,,,,Spirit,Already dead,,,,Rat,,,,Extant,,
Giant Phantom Rat,https://harrypotter.fandom.com/wiki/Giant_Phantom_Rat,,,Ghostly ratAggressive,,,,,,,,,Spirit,Already dead,,,,Giant RatPhantom Rat,,,,Extant,,
Spectre Bat,https://harrypotter.fandom.com/wiki/Spectre_Bat,,,Ghost of a batCan stun victimsKeen hearingSharp sense of smell,,Green or red,,,,,,,Spirit,Already dead,Animal ghost,,,Bat,,Pale blue,,Extant,,
Spirit guide,https://harrypotter.fandom.com/wiki/Spirit_guide,,,,,,,,,,,,,,,,,,,,,,,
Boggart,https://harrypotter.fandom.com/wiki/Boggart,Boggle,Dark Arts,Transformed into the worst fear of the nearest observer(s),,Varies,,,Varies,,,,Non-being,Amortal,Worldwide,,,Bogeyman (possibly),,Varies,,Extant,,
Dementor,https://harrypotter.fandom.com/wiki/Dementor,,British Ministry of Magic (formerly)Azkaban (formerly)Death EatersLord VoldemortDark ArtsHogwarts School of Witchcraft and Wizardry (briefly),"Capable of draining humans of happy thoughts, memories, and emotionsCapable of the Dementor's KissHovered effortlessly inches above the groundNegatively altered atmosphere and magically created fogForced victims to relive their worst memories",,,,,,,,,Non-being,Amortal,Azkaban (formerly),,,Lethifold (possibly),,Scabby grey,,Extant,,
Poltergeist,https://harrypotter.fandom.com/wiki/Poltergeist,None,,"Causes chaosSimilar to a ghost, but solid and can move objectsWas never a living human being",,Varies,,,Varies,,,,Non-being,Amortal,Worldwide,,,,,Varies,,Extant,,
Caipora,https://harrypotter.fandom.com/wiki/Caipora,,Castelobruxo,Extraordinarily mischievous natureProtect the grounds of Castelobruxo at night,,Red,,,Red,,,,Spirit-being,,"Amazon rainforest, Brazil",,,,,Green,,Extant,,
Aquavirius Maggot,https://harrypotter.fandom.com/wiki/Aquavirius_Maggot,,,Supposedly look like brains,,,,,,,,,,,,,,,,Pale,,"Extant (allegedly), probably imaginary",,
Blibbering Humdinger,https://harrypotter.fandom.com/wiki/Blibbering_Humdinger,,,,,,,,,,,,,,,,,,,,,,,
Capricorn,https://harrypotter.fandom.com/wiki/Capricorn_(creature),,,,,,,,,,,,,,,,,,,,,,,
Crumple-Horned Snorkack,https://harrypotter.fandom.com/wiki/Crumple-Horned_Snorkack,Kacky Snorgle (by Ron Weasley)Crumple Headed Snorkack (by Selwyn),Lovegood family,"Has a long, curled hornVery shy and has a hump",,Black,,,,,,,,Mortal (possibly),Sweden (supposedly),,,,,Purple,,Mythical (most likely),,
Dabberblimp,https://harrypotter.fandom.com/wiki/Dabberblimp,,,,,,,,,,,,,,,,,,,,,,,
Exploding Snabberwitch,https://harrypotter.fandom.com/wiki/Exploding_Snabberwitch,,,,,,,,,,,,,,,,,,,,,,,
Gulping Plimpy,https://harrypotter.fandom.com/wiki/Gulping_Plimpy,,,Repelled by Gurdyroots,,Black,,,,,,,"Beast (likely, if real)",Mortal,,,,Plimpy,,Yellow and red,,Non-existent (most likely),,
Heliopath,https://harrypotter.fandom.com/wiki/Heliopath,,Cornelius Fudge (supposedly),Galloped and burned anything in its path (supposedly),,Black,,,Fiery,,,,Spirit,Mortal (possibly),,,,,,Black,,Extant (allegedly),,
Hydra,https://harrypotter.fandom.com/wiki/Hydra,,,Several heads,,,,,,,,,,,,,,,,,,"Extinct, mythical, or rare (possibly)",,
Moon Frog,https://harrypotter.fandom.com/wiki/Moon_Frog,,,Presumably imaginaryIt has alien-like antennae,,Black,,,,,,,,Mortal (possibly),The Moon (supposedly),,,Frog (possibly),,Blue,,Extant (allegedly),,
Nargle,https://harrypotter.fandom.com/wiki/Nargle,,,Possibly fictional creatureInfesting mistletoe,,Black,,,,,,,,Mortal,,,,,,Pink,,Unknown,,
Skin-walker,https://harrypotter.fandom.com/wiki/Skin-walker,,,,,,,,,,,,,,,,,,,,,,,
Umgubular Slashkilter,https://harrypotter.fandom.com/wiki/Umgubular_Slashkilter,,,,,,,,,,,,,,,,,,,,,,,
Weetimorousbeastie,https://harrypotter.fandom.com/wiki/Weetimorousbeastie,,,,,,,,,,,,Beast,,"Banks of River Clyde, Scotland",,,,,,,Mythical (possibly),,
5 Legger,https://harrypotter.fandom.com/wiki/5_Legger,,,Has five legs,,,,,,,,,,Mortal,,,,,,,,,,
Abarimon,https://harrypotter.fandom.com/wiki/Abarimon,,Circus Arcanus,Hairy humanoidBackwards feet,,,,,,,,,,Mortal (likely),,,,,,,,Extant,,
Albino bloodhound,https://harrypotter.fandom.com/wiki/Albino_bloodhound,,British Ministry of MagicDepartment for the Regulation and Control of Magical CreaturesPest Advisory Board,Lack of pigment in hair and eyes,,Pale blue,,,White,,,,,Mortal,,,,Dogs,,White,,Extant,,
Alizor of Westacottus,https://harrypotter.fandom.com/wiki/Alizor_of_Westacottus,,,Humanoid appearance,,,,,,,,,,,,,,,,,,Extant,,
Bee-like creature,https://harrypotter.fandom.com/wiki/Bee-like_creature,,,,,,,,Yellow and black,,,,Beast (likely),Mortal,,,,,,,,Extant (as of 1993),,
Bicorn,https://harrypotter.fandom.com/wiki/Bicorn,,,Two hornsAggressive disposition,,,,,,,,,Beast (most likely),Mortal,,,,Cattle (possibly),,,,Extant,,
Blind-Worm,https://harrypotter.fandom.com/wiki/Blind-Worm,,,Small eyesLegelessBurrowers,,,,,,Various height,,Various length,,Mortal,,,,,,Various colours,,Extant,,
Blood-Sucking Bugbear,https://harrypotter.fandom.com/wiki/Blood-Sucking_Bugbear,,,Blood-consuming (presumably),,,,,,,,,Beast (most likely),,Scotland,,,,,,,,,
Bogeyman,https://harrypotter.fandom.com/wiki/Bogeyman,,Dark Arts,Squints painfully when exposed to light,,,,,,,,,,,,,,Boggart (possibly),,,,Extant,,
Briar Toad,https://harrypotter.fandom.com/wiki/Briar_Toad,,,PoisonousBlemishes on skin,,Dark,,,,,,,,Mortal,Northern England,,,ToadWide-mouth toad,,Red,,Extant,,
Charmed skeleton,https://harrypotter.fandom.com/wiki/Charmed_skeleton,,Dark Arts (possibly),Reanimated skeleton,,"Green, sometimes none",,,,Varies,,,,Mortal,,,,InferiusZombie (possibly),,,,Extant,,
Cherub,https://harrypotter.fandom.com/wiki/Cherub,,,,,,,,,,,,,,,,,,,,,,,
Cliodna's birds,https://harrypotter.fandom.com/wiki/Cliodna%27s_birds,,,,,,,White,,,,,,,,,,,,,Birds,,,
Cobra Lily,https://harrypotter.fandom.com/wiki/Cobra_Lily,,,,Plant/snake hybridAggressive,,,,,,,,,,,,,CobraLily,Sentient,,,Extant,,
Cockatrice,https://harrypotter.fandom.com/wiki/Cockatrice,,French National Quidditch teamTriwizard Tournament (formerly),Had a lizard's tail and a rooster's headDestructive nature,,,,,,,,,,Mortal (presumably),,,,,,,,Extant,,
Coco Rumsey Catcher,https://harrypotter.fandom.com/wiki/Coco_Rumsey_Catcher,,,Resembles the Cornish PixieEnjoys flower-picking,,,,,,,,,,,,,,Cornish Pixie (presumably),,,,Extant,,
Cocoon Spider,https://harrypotter.fandom.com/wiki/Cocoon_Spider,,,Robust webbing ability,,Black,,,GreenOrange,,,,,Mortal,,,,Spider,,,,Extant,,
Crazed Capybara,https://harrypotter.fandom.com/wiki/Crazed_Capybara,,,Could become crazed when angry,,Black,,,Brown,,,,,,,,,,,,,Extant,,
Curupira,https://harrypotter.fandom.com/wiki/Curupira,,Brazilian National Quidditch team,Feet point backwards,,,,,Red,,,,,Mortal,Brazilian forests,,,Dwarf,,,,Extant,,
Daraliznof Freaazer,https://harrypotter.fandom.com/wiki/Daraliznof_Freaazer,,,"Bulging eyesLarge, pointed ears",,,,,Hairless,,,,,,,,,House-elves (possibly),,,,Extant,,
Death's Dark Mongrel,https://harrypotter.fandom.com/wiki/Death%27s_Dark_Mongrel,,Death's ShadowDeath,,,,,,,,,,,Mortal,,,,,,,,Possibly non-existent,,
Death's Shadow,https://harrypotter.fandom.com/wiki/Death%27s_Shadow,,Death,Black gas surrounding them,,,,,,,,,,Mortal,,,,Charmed skeleton (possibly),,,,Possibly non-existent,,
Death's Troll,https://harrypotter.fandom.com/wiki/Death%27s_Troll,,DeathDeath's Shadow,,,,,,,,,,Beast,Mortal,,,,Death's ShadowDeath's Dark Mongrel,,,,Possibly non-existent,,
Dragon toad,https://harrypotter.fandom.com/wiki/Dragon_toad,,,,,Yellow,,,,,,,,Mortal,,,,ToadDragon (possibly),,Red/Orange/Brown,,Extant,,
Dough Creature,https://harrypotter.fandom.com/wiki/Dough_Creature,,,Made of blood sausage meat pie,,,,,,,,,,Mortal,,,,,,Pastry,,Eradicated,,
Dricken,https://harrypotter.fandom.com/wiki/Dricken,,,Possible crossbreed of a chicken and a Common Welsh Green dragon,,,,,,,,,Beast (at least partly),Mortal,,,,,,,,,,
Dukuwaqa,https://harrypotter.fandom.com/wiki/Dukuwaqa,,Fijian National Quidditch team,Could transform from a shark into a human/Shapeshifter,,,,,,,,,,Mortal,Fijian oceans,,,,,,,Extant,,
Dwarf,https://harrypotter.fandom.com/wiki/Dwarf,,Gilderoy Lockhart,Short and stocky,,,,,Dark,,,,,Mortal,,,,CurupiraRed Cap (possibly),,Pale,,Extant,,
