name,url,Affiliation,Also known as,Alternative names,Author,Born,Budget,Cover artist,Developer,Died,Director(s),Distinction,Distinction(s),Distributor(s),Eye colour,Family members,Feather colour,Feathers,Flowers,Followed by,Gender,Genre,Gross box office,Hair colour,Height of average adult,Information,Interior artist,Known affected,Latest version,Leaves,Length of average adult,Loyalty,Ministry of Magic Classification,Mortality,Music by,Narrator,Native to,Number,Occupation,Pages,Platforms,Preceded by,Producer(s),Provoked by,Publisher,Rarity,Rating,Related to,Release date,Release date(s),Released,Run-time,Sentience,Set,Skin colour,Species,Star(s),Status,Stem,Symptoms,Type,Updated,Wingspan of average adult,Writer(s)
Matagot,https://harrypotter.fandom.com/wiki/Matagot,French Ministry of Magic,,,,,,,,,,"Resembles black cat in appearanceCapable of multiplyingNormally harmless, vicious when provoked",,,Light blue,,,,,,,,,,,,,,,,,,Beast,,,,France (possibly),,,,,,,,,,,,,,,,,,Black,,,Extant,,,,,,
Merpeople,https://harrypotter.fandom.com/wiki/Merperson,,,Mermaid (female)Merman (male)Merpeople (plural),,,,,,,,Fish-like attributesWater-inhabitant,,,Varies,,,,,,,,,Varies,Varies,,,,,,,,Beast (by choice) XXXX,,,,"Originally Greece, now found worldwide",,,,,,,,,,,Sub-speciesSirenSelkieMerrow,,,,,,,Varies,,,Extant,,,,,,
Merrow,https://harrypotter.fandom.com/wiki/Merrow,,,,,,,,,,,Less beautiful than sirens,,,Varies,,,,,,,,,Varies,Varies,,,,,,,,Beast (by choice)XXXX,,,,Ireland,,,,,,,,,,,MerpeopleSelkie,,,,,,,Varies,,,Extant,,,,,,
Selkie,https://harrypotter.fandom.com/wiki/Selkie,,,,,,,,,,,Less beautiful than sirens,,,Varies,,,,,,,,,Varies,,,,,,,,,XXXX,,,,Scotland,,,,,,,,,,,MerpeopleMerrow,,,,,,,Varies,,,Extant,,,,,,
Siren,https://harrypotter.fandom.com/wiki/Siren,,,,,,,,,,,Considered beautiful,,,Varies,,,,,,,,,Varies,,,,,,,,,Beast (by choice)  XXXX,Mortal (likely),,,Greece,,,,,,,,,,,Merpeople,,,,,,,Varies,,,Extant,,,,,,
Moke,https://harrypotter.fandom.com/wiki/Moke,,,,,,,,,,,Shrinks at will,,,,,,,,,,,,,,,,,,,Ten inches,,BeastXXX,Mortal,,,Great BritainIreland,,,,,,,,,,,Lizard,,,,,,,Silver-green,,,Extant,,,,,,
Mooncalf,https://harrypotter.fandom.com/wiki/Mooncalf,,,,,,,,,,,Comes out only during full moonCreates crop circles with mating dance,,,Blue-green,,,,,,,,,Pale grey,,,,,,,,,BeastXX,Mortal,,,Existing worldwide,,,,,,,,,,,,,,,,,,Pink,,,Extant,,,,,,
Murtlap,https://harrypotter.fandom.com/wiki/Murtlap,Water,,,,,,,,,,Resembles rat but with tentaclesCarnivorous,,,,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Great Britain,,,,,,,,,,,,,,,,,,Pale pink,,,Extant,,,,,,
Muskrill,https://harrypotter.fandom.com/wiki/Muskrill,,,,,,,,,,,Bio-luminescent,,,Light-blue,,,,,,,,,,,,,,,,,,Beast,Mortal (likely),,,,,,,,,,,,,,,,,,,,,White,,,Extant (likely),,,,,,
Niffler,https://harrypotter.fandom.com/wiki/Niffler,,,,,,,,,,,Rodent-likeLong snoutAttracted to shiny objects and metalsSkilled at hunting for treasureCan wreck indoor environments,,,,,,,,,,,,BlackBrownTeal,,,,,,,,,BeastXXX,Mortal,,,Great Britain,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Nogtail,https://harrypotter.fandom.com/wiki/Nogtail,Dark Arts,,,,,,,,,,Long legsThick stubby tailSuckled pigsExceptionally fast and hard to catch,,,Black,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,EuropeRussiaNorth AmericaSouth America,,,,,,,,,,,,,,,,,,Brown,,,Extant,,,,,,
Nundu,https://harrypotter.fandom.com/wiki/Nundu,,,,,,,,,,,Resembles leopard or lion in appearanceToxic breathMoved silentlyCarnivorous,,,,,,,,,,,,Yellow with black spots,,,,,,,,,BeastXXXXX,Mortal,,,East Africa,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Occamy,https://harrypotter.fandom.com/wiki/Occamy,,,,,,,,,,,Serpentine appearanceWingedExtremely aggressiveCarnivorousProtective of eggsCapable of Choranaptyxis,,,,,Teal,,,,,,,Purple,,,,,,,Fifteen feet,,BeastXXXX,Mortal,,,Far EastIndia,,,,,,,,,,,,,,,,,,Turquoise,,,Extant,,,,,,
Oni,https://harrypotter.fandom.com/wiki/Oni,,,,,,,,,,,Horned,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Japan,,,,,,,,,,,,,,,,,,,,,Extant (as of 1987),,,,,,
Peluda,https://harrypotter.fandom.com/wiki/Peluda,,,,,,,,,,,CarnivorousAquaticCovered in spikes,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,White,,,,,,,,,
Phoenix,https://harrypotter.fandom.com/wiki/Phoenix,Dumbledore family,,,,,,,,,,Reborn from ashes upon deathImmense strengthTears had healing powersCapable of singing soul-touching songStrictly herbivorous,,,Black,,ScarletGolden tail,,,,,,,,,,,,,,,,BeastXXXX,Immortal,,,EgyptIndiaChina,,,,,,,,,,,Hoo-hooThunderbird,,,,,,,,,,Extant,,,,,,
Pixie,https://harrypotter.fandom.com/wiki/Pixie,,,,,,,,,,,Revels in mischiefBlue skin,,,Black,,,,,,,,,,Eight inches (about 20 centimetres),,,,,,,,BeastXXX,,,,"Cornwall, England (mostly)",,,,,,,,,,,FairyDoxy,,,,,,,Electric blue,,,Extant,,,,,8 inches (estimate),
Cornish Pixie,https://harrypotter.fandom.com/wiki/Pixie,,,,,,,,,,,Revels in mischiefBlue skin,,,Black,,,,,,,,,,Eight inches (about 20 centimetres),,,,,,,,BeastXXX,,,,"Cornwall, England (mostly)",,,,,,,,,,,FairyDoxy,,,,,,,Electric blue,,,Extant,,,,,8 inches (estimate),
Plimpy,https://harrypotter.fandom.com/wiki/Plimpy,Merpeople,,,,,,,,,,Round in shapeHas two legs,,,,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Worldwide,,,,,,,,,,,,,,,,,,Yellowish,,,Extant,,,,,,
Pogrebin,https://harrypotter.fandom.com/wiki/Pogrebin,Dark Arts,,,,,,,,,,HairyOversized grey headAttracted to and attacked humans,,,,,,,,,,,,,1 foot,,,,,,,,BeastXXX,Mortal,,,Russia,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Porlock,https://harrypotter.fandom.com/wiki/Porlock,Horses,,,,,,,,,,"Walked on two cloven hoovesMistrustful of humansRough, shaggy hairLarge noseSmall armsFour stubby fingers",,,Blue,,,,,,,,,Red and brown,Two feet,,,,,,,,BeastXX,Mortal,,,EnglandSouthern Ireland,,,,,,,,,,,,,,,,,,Black,,,Extant,,,,,,
Puffskein,https://harrypotter.fandom.com/wiki/Puffskein,,,,,,,,,,,"Small and furrySpherical shapeScavenger; ate leftovers, spiders, moths and bogeysEmitted low humming sound when happyHair had magical properties",,,,,,,,,,,,Custard (also described as yellow),,,,,,,,,BeastXX,Mortal,,,,,,,,,,,,,,Pygmy PuffAppaloosa PuffskeinFanged Puffskein,,,,,,,,,,Extant,,,,,,
Appaloosa Puffskein,https://harrypotter.fandom.com/wiki/Appaloosa_Puffskein,,,American Puffskein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beast, XX",Mortal,,,"New York, United States of America",,,,,,,,,,,PuffskeinPygmy PuffFanged Puffskein,,,,,,,,,,Extinct,,,,,,
Fanged Puffskein,https://harrypotter.fandom.com/wiki/Fanged_Puffskein,,,,,,,,,,,Fanged,,,Yellow,,,,,,,,,Black,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,PuffskeinPygmy PuffAppaloosa Puffskein,,,,,,,,,,Extant,,,,,,
Pygmy Puff,https://harrypotter.fandom.com/wiki/Pygmy_Puff,,,,,,,,,,,,,,,,,,,,,,,Pink or Purple,,,,,,,,,BeastXX,,,,,,,,,,,,,,,PuffskeinAppaloosa PuffskeinFanged Puffskein,,,,,,,,,,Extant,,,,,,
Pygmy Kraken,https://harrypotter.fandom.com/wiki/Pygmy_Kraken,,,,,,,,,,,Had many tentaclesBio-luminescent,,,Bright blue,,,,,,,,,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,,,Greyish,,,,,,,,,
Qilin,https://harrypotter.fandom.com/wiki/Qilin,,,,,,,,,,,"Possessed the ability to see into a person's soulPossessed precognitive abilitiesPart-dragon, part-horse",,,,,,,,,,,,Light brown,,,,,,,,,Beast,Mortal,,,"Kweilin, China",,,,,,,,,,,,,,,,,,Brown and white skin and fur,,,,,,,,,
Quintaped,https://harrypotter.fandom.com/wiki/Quintaped,,,Hairy MacBoons,,,,,,,,"Five legsCarnivorous, taste for human fleshExtremely dangerous and hostile towards humans",,,,,,,,,,,,Red-brown,,,,,,,,,BeastXXXXX,Mortal,,,Isle of Drear,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Ramora,https://harrypotter.fandom.com/wiki/Ramora,,,,,,,,,,,Anchors ships in placeEuryhaline,,,,,,,,,,,,,,,,,,,Longer than ships,,BeastXX,,,,Indian Ocean,,,,,,,,,,,,,,,,,,Silver,,,Extant,,,,,,
Red Cap,https://harrypotter.fandom.com/wiki/Red_Cap,,,,,,,,,,,Dwarf-like appearanceAttracted to spilt human bloodBludgeons unwary to death,,,Red,,,,,,,,,,3-4 feet,,,,,,,,BeastXXX,Mortal,,,Northern Europe,,,,,,,,,,,,,,,,,,Green,,,Extant,,,,,,
Re'em,https://harrypotter.fandom.com/wiki/Re%27em,,,,,,,,,,,Resembles an OxBlood increases strength of drinker,,,,,,,,,,,,Golden,,,,,,,,,BeastXXXX,Mortal,,,North AmericaFar East,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Runespoor,https://harrypotter.fandom.com/wiki/Runespoor,Dark wizards (formerly),,,,,,,,,,Three heads,,,,,,,,,,,,,,,,,,,Six to seven feet,,BeastXXXX,Mortal,,,"Burkina Faso, Africa",,,,,,,,,,,,,,,,,,Orange with black stripes,,,Extant,,,,,,
Salamander,https://harrypotter.fandom.com/wiki/Fire_Dwelling_Salamander,,,Fire SalamanderSalamander,,,,,,,,Typically on fireDwell in Salamander fire,,,Black,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Existing worldwide,,,,,,,,,,,Amazonian SalamandersPeruvian SalamandersFrost Salamanders,,,,,,,Scarlet red,,,Extant,,,,,,
Amazonian Salamander,https://harrypotter.fandom.com/wiki/Amazonian_Salamander,Fire,,,,,,,,,,Can have green skin,,,,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Amazon rainforest,,,,,,,,,,,Fire Dwelling Salamander,,,,,,,Green,,,Extant,,,,,,
Blue salamander,https://harrypotter.fandom.com/wiki/Blue_salamander,,,,,,,,,,,Body temperature below freezing,,,Black,,,,,,,,,,,,,,,,,,BeastXXX (presumably),Mortal,,,Antarctica,,,,,,,,,,,Fire Dwelling Salamander,,,,,,,Blue,,,Extant,,,,,,
Frost Salamander,https://harrypotter.fandom.com/wiki/Frost_Salamander,,,,,,,,,,,Body temperature below freezing,,,Black,,,,,,,,,,,,,,,,,,BeastXXX (presumably),Mortal,,,Antarctica,,,,,,,,,,,Fire Dwelling Salamander,,,,,,,Blue,,,Extant,,,,,,
Peruvian Salamander,https://harrypotter.fandom.com/wiki/Peruvian_Salamander,Fire,,,,,,,,,,Purple skin,,,Black,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Peru,,,,,,,,,,,Salamander,,,,,,,Purple,,,Extant,,,,,,
Sea serpent,https://harrypotter.fandom.com/wiki/Sea_serpent,,,,,,,,,,,Horse-like headSerpentine bodyPeaceful temperament,,,,,,,,,,,,,,,,,,,100 feet,,BeastXXX,,,,Atlantic OceanPacific OceanMediterranean SeaGreat Lake,,,,,,,,,,,Selma,,,,,,,,,,Extant,,,,,,
Secondary,https://harrypotter.fandom.com/wiki/Secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Deep ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selma,https://harrypotter.fandom.com/wiki/Selma,Norwegian National Quidditch team,,,,,,,,,,"Aggressive temperamentCarnivorous, feeds on fish and human flesh",,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Norway,,,,,,,,,,,Sea serpent,,,,,,,,,,Extant,,,,,,
Shrake,https://harrypotter.fandom.com/wiki/Shrake,,,,,,,,,,,Covered in sharp spines that can destroy fishing nets,,,,,,,,,,,,,,,,,,,,,BeastXXX,Mortal,,,Atlantic Ocean,,,,,,,,,,,Fish,,,,,,,,,,Extant,,,,,,
Six-legged panda pig,https://harrypotter.fandom.com/wiki/Six-legged_panda_pig,,,,,,,,,,,Presumably a hybrid between a panda and a pigHas six legs,,,,,,,,,,,,Black and white,,,,,,,,,Beast,Mortal (likely),,,,,,,,,,,,,,PandaPig,,,,,,,,,,Extant (possibly),,,,,,
Snallygaster,https://harrypotter.fandom.com/wiki/Snallygaster,,,,,,,,,,,Part-bird and part-reptileResembles dragonsSerrated steel fangs to pierce preyNaturally curious natureBulletproof hide,,,,,,,,,,,,,,,,,,,,,Beast  XXXX,Mortal,,,United States of America,,,,,,,,,,,Occamy,,,,,,,,,,Extant,,,,,,
Sphinx,https://harrypotter.fandom.com/wiki/Sphinx,,,,,,,,,,,Human head and faceLion bodyHighly intelligentCapable of human speechDelights in puzzles and riddlesViolent nature,,,Almond-shapedHazel,,,,,,,,,Brown,,,,,,,,,BeastXXXX,,,,Egypt,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Squonk,https://harrypotter.fandom.com/wiki/Squonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streeler,https://harrypotter.fandom.com/wiki/Streeler,,,Poisonous orange snailGiant Orange Snail,,,,,,,,"Changes colour hourlyToxic trail, spikes and shells",,,,,,,,,,,,,Giant,,,,,,,,BeastXXX,Mortal,,,Africa,,,,,,,,,,,Snails,,,,,,,Brown,,,Extant,,,,,,
Swamp Lepus,https://harrypotter.fandom.com/wiki/Swamp_Lepus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Temperate zone,,,,,,,,,,,,,,,,
Swooping Evil,https://harrypotter.fandom.com/wiki/Swooping_Evil,Dark Arts,,,,,,,,,,Resembles large butterflyWolf-like skullSpiked wingsShrinks into green spiny cocoon when not in flightFeeds on human brainsTough skin can deflect spellsVenomous,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,,,,,,,,Blue and green,,,Extant,,,,,,
Tebo,https://harrypotter.fandom.com/wiki/Tebo,,,,,,,,,,,Highly dangerousCan turn invisibleExtremely difficult to capture or evade,,,Brown,,,,,,,,,Ashen,,,,,,,,,BeastXXXX,Mortal,,,CongoZaire,,,,,,,,,,,Warthog,,,,,,,,,,Extant,,,,,,
Three-Headed Dog,https://harrypotter.fandom.com/wiki/Three-Headed_Dog,,,Cerberus,,,,,,,,Three headsLarger and stronger than non-magical dogs,,,Black,,,,,,,,,Brown,,,,,,,,,Beast,Mortal,,,Greece,,,,,,,,,,,Dog,,,,,,,,,,Extant,,,,,,
Thunderbird,https://harrypotter.fandom.com/wiki/Thunderbird,,,,,,,,,,,Can magically create stormsHighly sensitive to danger,,,,,Gold/White,,,,,,,,,,,,,,,,BeastXXXX,Mortal,,,"Arizona, United States of America",,,,,,,,,,,Phoenix,,,,,,,White,,,Extant,,,,,,
Thornback,https://harrypotter.fandom.com/wiki/Thornback,,,,,,,,,,,Large spider,,,Yellow,,,,,,,,,,,,,,,,,,Beast,,,,"Forbidden Forest, Scotland",,,,,,,,,,,Spider,,,,,,,Various,,,Extant,,,,,,
Thornback Ambusher,https://harrypotter.fandom.com/wiki/Thornback_Ambusher,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,Thornback,,,,,,,White and red,,,Extant,,,,,,
Thornback Hatchling,https://harrypotter.fandom.com/wiki/Thornback_Hatchling,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,Thornback,,,,,,,Yellow,,,Extant,,,,,,
Thornback Matriarch,https://harrypotter.fandom.com/wiki/Thornback_Matriarch,,,,,,,,,,,,,,Orange,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,ThornbackThornback ShooterThornback Scurriour,,,,,,,Purple,,,Extant,,,,,,
Thornback Scurriour,https://harrypotter.fandom.com/wiki/Thornback_Scurriour,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,ThornbackThornback Shooter,,,,,,,Yellow,,,Extant,,,,,,
Thornback Shooter,https://harrypotter.fandom.com/wiki/Thornback_Shooter,,,,,,,,,,,Venomous,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,Thornback,,,,,,,Green,,,Extant,,,,,,
Troll,https://harrypotter.fandom.com/wiki/Troll,Norwegian National Quidditch team,,,,,,,,,,Giant-like appearanceLow intelligenceGenerally aggressive natureCarnivorous,,,Varies,,,,,,,,,,12 feet,,,,,,,,BeastXXXXBeing (formerly),Mortal,,,Europe(originally Scandinavia),,,,,,,,,,,Yeti (possibly),,,,,,,Varies,,,Extant,,,,,,
Forest Troll,https://harrypotter.fandom.com/wiki/Forest_Troll,,,Troll,,,,,,,,Straggly hair,,,,,,,,,,,,GreenBrown,Less than 12 feet,,,,,,,,BeastXXXXBeing (formerly),Mortal,,,Forbidden ForestForests,,,,,,,,,,,River trollsMountain trolls,,,,,,,Pale green,,,Extant,,,,,,
Mountain Troll,https://harrypotter.fandom.com/wiki/Mountain_Troll,,,Troll,,,,,,,,Giant clubSmall head on large bodyGreat strength,,,,,,,,,,,,None (bald)Whiskers,12 feet (roughly),,,,,,,,BeastXXXXBeing (formerly),,,,Mountainous countryside,,,,,,,,,,,River trollsForest trolls,,,,,,,Pale grey,,,Extant,,,,,,
River Troll,https://harrypotter.fandom.com/wiki/River_Troll,,,Troll,,,,,,,,Short horns,,,,,,,,,,,,,Less than 12 feet,,,,,,,,BeastXXXXBeing (formerly),Mortal,,,RiversBeneath bridges,,,,,,,,,,,Mountain trollsForest trolls,,,,,,,,,,Extant,,,,,,
Troll of Nadroj,https://harrypotter.fandom.com/wiki/Troll_of_Nadroj,,,,,,,,,,,Giant clubHorned legsHuge hands,,,,,,,,,,,,,Twelve feet,,,,,,,,Beast XXXX,,,,,,,,,,,,,,,Mountain trollRiver trollForest troll,,,,,,,,,,Extant,,,,,,
Unicorn,https://harrypotter.fandom.com/wiki/Unicorn,,,,,,,,,,,"Single horn on headPure white coatGolden hoovesFriendlier towards witches than wizardsBlood, hair and horn all have potent magical properties",,,,,,,,,,,,White (mature)Silver (aged 2-7)Gold (first 2 years),,,,,,,,,BeastXXXX,Mortal,,,Northern Europe,,,,,,,,,,,Horses,,,,,,,,,,Extant,,,,,,
Vampyr Mosp,https://harrypotter.fandom.com/wiki/Vampyr_Mosp,,,,,,,,,,,Wasp-moth hybridGiant and aggressivePainful stingAttracted to the scent of flowers,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland (possibly),,,,,,,,,,,,,,,,,,Purple or Red,,,Extant,,,,,,
Venomous Scurriour,https://harrypotter.fandom.com/wiki/Venomous_Scurriour,Forbidden Forest,,,,,,,,,,Venomous,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,Spider,,,,,,,Yellow,,,Extant,,,,,,
Venomous Ambusher,https://harrypotter.fandom.com/wiki/Venomous_Ambusher,Forbidden Forest,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,,,,,,,,White and red,,,Extant,,,,,,
Venomous Hatchling,https://harrypotter.fandom.com/wiki/Venomous_Hatchling,Forbidden Forest,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,,,,,,,,Yellow,,,Extant,,,,,,
Venomous Matriarch,https://harrypotter.fandom.com/wiki/Venomous_Matriarch,Forbidden Forest,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,,,,,,,,Purple,,,Extant,,,,,,
Venomous Scurriour,https://harrypotter.fandom.com/wiki/Venomous_Scurriour,Forbidden Forest,,,,,,,,,,Venomous,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,Spider,,,,,,,Yellow,,,Extant,,,,,,
Venomous Shooter,https://harrypotter.fandom.com/wiki/Venomous_Shooter,Forbidden Forest,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Scotland,,,,,,,,,,,,,,,,,,Green,,,Extant,,,,,,
Wampus cat,https://harrypotter.fandom.com/wiki/Wampus_cat,,,,,,,,,,,Eyes capable of hypnosis and legilimencyIncredibly fast and strongAlmost impossible to kill,,,Yellow,,,,,,,,,Light brown and white,,,,,,,,,Beast  XXXXX,Mortal,,,"Appalachian Mountains, North America",,,,,,,,,,,Cat,,,,,,,,,,Extant,,,,,,
Water dragon parasite,https://harrypotter.fandom.com/wiki/Water_dragon_parasite,,,,,,,,,,,"Resembled spindly waterborne spiderUsually lived off water dragons, occasionally humansHighly venomous",,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,Paris sewers (possibly),,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Werewolf,https://harrypotter.fandom.com/wiki/Werewolf,Lord VoldemortOrder of the PhoenixWerewolf army,,LycanthropeWolf-person (By Cecil Lee),,,,,,,,"Almost indistinguishable in appearance from the true wolfShorter snout, more human-like eyes, the tufted tailAggression toward humansIncurable cursed condition",,,Varies,,,,,,,,,Varies,,,,,,,,,BeingBeastXXXXX,Mortal,,,World-wide,,,,,,,,,,,WolfHuman,,,,,,,Varies,,,Extant,,,,,,
Wetland Jack moose,https://harrypotter.fandom.com/wiki/Wetland_Jack_moose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beast,Mortal,,,,,,,,,,,,,,Temperate zone,,,,,,,,,,,,,,,,
Winged horse,https://harrypotter.fandom.com/wiki/Winged_horse,,,,,,,,,,,Horses with wings capable of flight,,,,,,,,,,,,Varied,,,,,,,,,BeastXX-XXXX,Mortal,,,Worldwide,,,,,,,,,,,HorseAbraxanAethonanGranianThestral,,,,,,,,,,Extant,,,,,,
Abraxan,https://harrypotter.fandom.com/wiki/Abraxan,Olympe MaximeBeauxbatons Academy of Magic,,Horse,,,,,,,,Large and winged,,,Red,,,,,,,,,White,Larger than normal horse-size; similar to an elephant,,,,,,,,"Beast  XX, XXX, or XXXX",Mortal,,,,,,,,,,,,,,Winged horseAethonanGranianThestral,,,,,,,Palomino,,,Extant,,,,,,
Aethonan,https://harrypotter.fandom.com/wiki/Aethonan,,,Horse,,,,,,,,Winged horse,,,,,,,,,,,,Chestnut,,,,,,,,,Beast  XX - XXXX,Mortal,,,Great BritainIreland,,,,,,,,,,,Winged horseAbraxanGranianThestral,,,,,,,,,,Extant,,,,,,
Granian,https://harrypotter.fandom.com/wiki/Granian,,,,,,,,,,,Moves quickly,,,,,,,,,,,,Grey,,,,,,,,,Beast  XX - XXXX,Mortal,,,,,,,,,,,,,,Winged horseAbraxanAethonanThestral,,,,,,,,,,Extant,,,,,,
Thestral,https://harrypotter.fandom.com/wiki/Thestral,Hogwarts School of Witchcraft and WizardryRubeus HagridLuna LovegoodHarry PotterDark Arts,,,,,,,,,,Only visible to those who had witnessed death and accepted its realityCarnivorous,,,White,,,,,,,,,Black,Larger than a wingless horse,,,,,,Larger than a wingless horse,,BeastXXXX,,,,British IslesFranceIberian PeninsulaIreland,,,,,,,,,,,Winged horseAbraxanAethonanGranian,,,,,,,Black,,,Extant,,,,,,
Wyvern,https://harrypotter.fandom.com/wiki/Wyvern,,,,,,,,,,,Two pairs of wingsLong and prehensile tailCapable of inflating sections of its bodyCapable of lifting the weight of a full-grown human being with its tail alone,,,,,,,,,,,,,,,,,,,,,Beast,,,,,,,,,,,,,,,,,,,,,,,,,Extant,,,,,,
Wyvern of Wye,https://harrypotter.fandom.com/wiki/Wyvern_of_Wye,,,,,Middle Ages,,,,"Middle Ages River Wye, West Country, England, Great Britain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wyvern,,,,,,,,
Yeti,https://harrypotter.fandom.com/wiki/Yeti,,,BigfootThe Abominable Snowman,,,,,,,,Human-like traitsCarnivorousFears fire,,,,,,,,,,,,White,15 feet,,,,,,,,Beast  XXXX,Mortal,,,Tibet,,,,,,,,,,,Troll (possibly),,,,,,,Grey,,,Extant,,,,,,
Zouwu,https://harrypotter.fandom.com/wiki/Zouwu,,,,,,,,,,,Striped bodyManed headFour fangsLong tailIncredibly powerful and fast,,,Yellow,,,,,,,,,Orange,Size of an elephant,,,,,,,,Beast,,,,China,,,,,,,,,,,Cat,,,,,,,,,,Extant,,,,,,
Giant,https://harrypotter.fandom.com/wiki/Giant,Dark ArtsLord VoldemortGiant colony,,,,,,,,,,Very large humanoidOften violent and bloodthirsty,,,Varies,,,,,,,,,Varies,20–25 feet,,,,,,Large,,Being,,,,EuropeNorth America (1920s),,,,,,,,,,,Human,,,,,,,Varies,,,Extant,,,,,,
Goblin,https://harrypotter.fandom.com/wiki/Goblin,Gringotts Wizarding Bank,,,,,,,,,,,,,Black,,,,,,,,,White,48 inches,,,,,,,,Being,Mortal,,,Europe (originally)North America,,,,,,,,,,,Dark GoblinHumanPukwudgie,,,,,,,Light,,,Extant,,,,,,
Dark Goblin,https://harrypotter.fandom.com/wiki/Dark_Goblin,,,,,,,,,,,Bear a sickle,,,Black,,,,,,,,,,48 inches,,,,,,,,,Mortal,,,Great Britain,,,,,,,,,,,Goblin,,,,,,,Red,,,Extant,,,,,,
Hag,https://harrypotter.fandom.com/wiki/Hag,Wizarding worldDark Arts,,,,,,,,,,"Resembled an ugly, old witch covered in wartsHad four toes on each footHad a taste for the flesh of human childrenPossessed Rudimentary magic",,,"Green, among others",,,,,,,,,,,,,,,,,,Being,Mortal,,,RussiaEurope,,,,,,,,,,,Human,,,,,,,Pale,,,Extant,,,,,,
Half-breed,https://harrypotter.fandom.com/wiki/Half-breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part-elf,https://harrypotter.fandom.com/wiki/Part_elf,,,Half-elf,,,,,,,,Half-breed between house-elves and humansPossess weak magic,,,,,,,,,,,,,,,,,,,,,Being,Mortal,,,,,,,,,,,,,,House-elvesHumansWizards,,,,,,,,,,Extant,,,,,,
Part-giant,https://harrypotter.fandom.com/wiki/Half-giant,,,Part-giant,,,,,,,,Half-breed between giants and humansExtremely large height and buildMagical abilitiesSpell resistance,,,Varies,,,,,,,,,Varies,Very tall by human standards,,,,,,,,Being,Mortal,,,Worldwide,,,,,,,,,,,GiantsHumansWizards,,,,,,,Varies,,,Extant,,,,,,
Part-goblin,https://harrypotter.fandom.com/wiki/Half-goblin,,,Part-goblin,,,,,,,,Half-breed between goblins and humansShort stature and inhuman-shaped head,,,Varies,,,,,,,,,,Short,,,,,,,,Being,,,,Varies,,,,,,,,,,,GoblinsHumansWizards,,,,,,,Human-like tones and colours,,,Extant,,,,,,
